trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-104.7382109776158,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-84.01501529089582,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,0,-165.0300895028741,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",30,0,-284.75035781124495,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 5}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,4,-184.0330618175648,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 2}",1
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,0,-36.209992449696486,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-52.64863409035292,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-99.13586718072565,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-77.53261215633098,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",35,0,-165.33926415896744,"{0: 19, 1: 2, 2: 10, 3: 4, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-121.14650442660944,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,-144.0360878877697,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,6,-64.98654313044491,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,0,-114.56881245374505,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,0,-55.30438106525234,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,0,-153.85112792470125,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,10,-35.353002035097575,"{0: 11, 1: 2, 2: 0, 3: 2, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,-161.8859878966419,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,5,-13.903078955914836,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",35,0,-221.28253334210777,"{0: 20, 1: 6, 2: 5, 3: 0, 4: 4}",0
1,True,"{'e': 0, 'a': 0}",25,0,-87.12674838472438,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,True,"{'e': 0, 'a': 0}",25,0,-203.1223855093178,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
3,True,"{'e': 0, 'a': 0}",20,0,-88.53046983486101,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,True,"{'e': 0, 'a': 0}",20,0,-281.7183336408325,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 6}",0
5,True,"{'e': 0, 'a': 0}",25,1,-180.48084631929706,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 2}",1
6,True,"{'e': 0, 'a': 0}",20,0,-25.108839031722205,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",20,0,-77.34939901900748,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
8,True,"{'e': 0, 'a': 0}",20,13,-34.454269261429296,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",30,0,-134.25353549047074,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
10,True,"{'e': 0, 'a': 0}",25,0,-150.08991413333345,"{0: 14, 1: 7, 2: 1, 3: 0, 4: 3}",0
