trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': -0.05, 'a': 0.5}",30,0,-147.3935661063544,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
2,False,"{'e': -0.05, 'a': 0.5}",25,0,-150.06650755475422,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'e': -0.05, 'a': 0.5}",30,0,-210.93325329471043,"{0: 15, 1: 7, 2: 3, 3: 2, 4: 3}",0
4,False,"{'e': -0.05, 'a': 0.5}",20,0,-172.24513965884452,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,False,"{'e': -0.05, 'a': 0.5}",30,3,-138.83101393340016,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 2}",1
6,False,"{'e': -0.05, 'a': 0.5}",25,0,-108.14960957062955,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
7,False,"{'e': -0.05, 'a': 0.5}",20,0,-87.09491683132285,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
8,False,"{'e': -0.05, 'a': 0.5}",25,0,-123.42135091464156,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'e': -0.05, 'a': 0.5}",20,0,-115.99058560342218,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
10,False,"{'e': -0.05, 'a': 0.5}",25,0,-212.3560521483554,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
11,False,"{'e': -0.05, 'a': 0.5}",25,0,-82.06862372012043,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
12,False,"{'e': -0.05, 'a': 0.5}",20,0,-128.87908607663266,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
