trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9048374180359595, 'a': 0.1}",25,0,-103.56382059566111,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'e': 0.8187307530779818, 'a': 0.1}",30,0,-115.63491843879304,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'e': 0.7408182206817179, 'a': 0.1}",20,0,-181.72810094733265,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
4,False,"{'e': 0.6703200460356393, 'a': 0.1}",20,0,-114.12370332263038,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'e': 0.6065306597126334, 'a': 0.1}",20,0,-55.401457336402444,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
6,False,"{'e': 0.5488116360940264, 'a': 0.1}",20,0,-12.578398880812204,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
7,False,"{'e': 0.49658530379140947, 'a': 0.1}",20,8,-20.078922139600927,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 0}",1
8,False,"{'e': 0.44932896411722156, 'a': 0.1}",25,3,-13.914293739436939,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 0}",1
9,False,"{'e': 0.4065696597405991, 'a': 0.1}",20,2,-2.5116775571141448,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'e': 0.36787944117144233, 'a': 0.1}",20,4,-4.632648253061259,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
11,False,"{'e': 0.33287108369807955, 'a': 0.1}",30,0,-67.34530620549347,"{0: 20, 1: 7, 2: 2, 3: 0, 4: 1}",0
12,False,"{'e': 0.301194211912202, 'a': 0.1}",30,0,-7.2155078064718445,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
13,False,"{'e': 0.2725317930340126, 'a': 0.1}",20,14,6.487659516652691,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'e': 0.24659696394160643, 'a': 0.1}",25,9,24.27203237535347,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'e': 0.22313016014842982, 'a': 0.1}",25,0,-4.305498800835698,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
16,False,"{'e': 0.20189651799465538, 'a': 0.1}",20,4,-41.84816225264813,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
17,False,"{'e': 0.1826835240527346, 'a': 0.1}",25,10,-1.9766844235222027,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'e': 0.16529888822158653, 'a': 0.1}",20,0,-24.946436965566626,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
19,False,"{'e': 0.14956861922263504, 'a': 0.1}",20,9,-38.269839725216876,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
20,False,"{'e': 0.1353352832366127, 'a': 0.1}",25,8,-13.255792256396997,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
21,False,"{'e': 0.1224564282529819, 'a': 0.1}",25,0,22.439447713350923,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
22,False,"{'e': 0.11080315836233387, 'a': 0.1}",20,0,26.60558498807286,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'e': 0.1002588437228037, 'a': 0.1}",20,0,-6.692844698530324,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
24,False,"{'e': 0.09071795328941247, 'a': 0.1}",20,0,5.897403165834292,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,0,15.6260507524553,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",25,0,7.29945279979011,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",30,14,16.520814981203788,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",20,0,6.190699131620042,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
5,True,"{'e': 0, 'a': 0}",30,0,40.33970761088263,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0, 'a': 0}",25,0,12.00776642253103,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",25,7,23.04724236841905,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",30,21,16.68280024373273,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",25,16,20.85790182953996,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,0,16.916438097916892,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
11,True,"{'e': 0, 'a': 0}",20,8,17.69026243110082,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'e': 0, 'a': 0}",25,0,8.218499866539556,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
13,True,"{'e': 0, 'a': 0}",30,0,27.570788170257917,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
14,True,"{'e': 0, 'a': 0}",25,0,11.845986168628597,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
15,True,"{'e': 0, 'a': 0}",30,3,17.237441600939057,"{0: 24, 1: 3, 2: 0, 3: 0, 4: 0}",1
16,True,"{'e': 0, 'a': 0}",25,0,29.028075479512104,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,True,"{'e': 0, 'a': 0}",25,0,17.76548516819577,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,True,"{'e': 0, 'a': 0}",35,20,21.071031621828997,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'e': 0, 'a': 0}",30,17,18.224703024648186,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,True,"{'e': 0, 'a': 0}",20,13,14.120364654177289,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
